Transaction_ID,Items,Time_Stamp
T0001,"Red Rice, Coconut Sambol, Chicken, Pol Sambol",2025-11-16 11:00 AM
T0002,"Fried Rice, Chilli Paste, Gotukola",2025-11-16 11:00 AM
T0003,"Red Rice, Chilli Paste, Dried Fish, Mallum, Fried Egg",2025-11-16 11:00 AM
T0004,"Red Rice, Chicken, Fried Egg, Pumpkin",2025-11-16 11:00 AM
T0005,"String Hoppers, Devilled Chicken, Chicken",2025-11-16 11:00 AM
T0006,"String Hoppers, Fried Egg, Potato Tempered, Dhal, Chicken Curry, Devilled Chicken",2025-11-16 11:00 AM
T0007,"String Hoppers, Gotukola, Brinjal Moju, Kiri Hodi, Papadam, Devilled Chicken",2025-11-16 11:01 AM
T0008,"Fried Rice, Fried Fish, Jackfruit, Fried Fish",2025-11-16 11:01 AM
T0009,"White Rice, Chicken Curry, Fried Egg, Chicken",2025-11-16 11:01 AM
T0010,"String Hoppers, Dhal, Brinjal Moju",2025-11-16 11:02 AM
T0011,"White Rice, Chop Suey, Dhal, Chicken Curry",2025-11-16 11:02 AM
T0012,"Fried Rice, Fried Egg, Fish, Pol Sambol, Dried Fish",2025-11-16 11:02 AM
T0013,"White Rice, Fried Fish, Chilli Paste, Dried Fish, Potato Tempered, Dhal",2025-11-16 11:02 AM
T0014,"Fried Rice, Fried Fish, Potato Tempered, Brinjal Moju, Jackfruit",2025-11-16 11:03 AM
T0015,"Fried Rice, Fried Egg, Fish Ambul Thiyal, Fish, Kiri Hodi",2025-11-16 11:04 AM
T0016,"Fried Rice, Mallum, Chilli Paste, Chicken Curry",2025-11-16 11:05 AM
T0017,"Red Rice, Fish Ambul Thiyal, Mallum, Dhal, Brinjal Moju, Fried Fish",2025-11-16 11:06 AM
T0018,"Fried Rice, Dried Fish, Fried Egg, Pumpkin, Chicken, Fish Ambul Thiyal",2025-11-16 11:06 AM
T0019,"White Rice, Devilled Chicken, Chilli Paste, Fried Fish, Gotukola, Papadam",2025-11-16 11:06 AM
T0020,"Fried Rice, Brinjal Moju, Mallum",2025-11-16 11:06 AM
T0021,"Fried Rice, Fish Ambul Thiyal, Jackfruit, Chicken Curry",2025-11-16 11:06 AM
T0022,"Fried Rice, Fried Fish, Pol Sambol, Fish Ambul Thiyal",2025-11-16 11:07 AM
T0023,"Fried Rice, Potato Tempered, Brinjal Moju, Pumpkin, Jackfruit, Chop Suey",2025-11-16 11:07 AM
T0024,"White Rice, Dried Fish, Chilli Paste",2025-11-16 11:08 AM
T0025,"Fried Rice, Pumpkin, Mallum, Chop Suey, Chicken, Fish Ambul Thiyal",2025-11-16 11:08 AM
T0026,"String Hoppers, Fish Ambul Thiyal, Gotukola, Jackfruit",2025-11-16 11:08 AM
T0027,"String Hoppers, Fried Egg, Gotukola, Fish Ambul Thiyal, Pumpkin",2025-11-16 11:09 AM
T0028,"Red Rice, Fish, Chicken, Gotukola, Kiri Hodi, Brinjal Moju",2025-11-16 11:09 AM
T0029,"White Rice, Fried Egg, Pol Sambol, Dried Fish, Chop Suey, Brinjal Moju",2025-11-16 11:09 AM
T0030,"Red Rice, Devilled Chicken, Dhal, Fish Ambul Thiyal",2025-11-16 11:10 AM
T0031,"White Rice, Dhal, Chicken Curry",2025-11-16 11:10 AM
T0032,"White Rice, Fried Fish, Mallum, Potato Tempered, Dried Fish",2025-11-16 11:10 AM
T0033,"Fried Rice, Jackfruit, Pumpkin, Fried Fish",2025-11-16 11:11 AM
T0034,"Fried Rice, Chilli Paste, Chop Suey, Fried Egg, Fish Ambul Thiyal, Pol Sambol",2025-11-16 11:11 AM
T0035,"White Rice, Brinjal Moju, Devilled Chicken, Chicken, Gotukola",2025-11-16 11:11 AM
T0036,"String Hoppers, Chicken Curry, Fried Egg",2025-11-16 11:11 AM
T0037,"White Rice, Dhal, Kiri Hodi, Chilli Paste",2025-11-16 11:11 AM
T0038,"White Rice, Devilled Chicken, Pumpkin",2025-11-16 11:12 AM
T0039,"String Hoppers, Papadam, Chop Suey, Pumpkin, Kiri Hodi",2025-11-16 11:12 AM
T0040,"Red Rice, Pumpkin, Potato Tempered",2025-11-16 11:12 AM
T0041,"String Hoppers, Dried Fish, Potato Tempered, Papadam, Fish, Brinjal Moju",2025-11-16 11:12 AM
T0042,"White Rice, Fried Fish, Pol Sambol",2025-11-16 11:13 AM
T0043,"Fried Rice, Pol Sambol, Potato Tempered, Chilli Paste",2025-11-16 11:13 AM
T0044,"Red Rice, Potato Tempered, Fried Egg, Brinjal Moju, Chicken",2025-11-16 11:14 AM
T0045,"Fried Rice, Devilled Chicken, Pol Sambol, Fried Fish",2025-11-16 11:14 AM
T0046,"String Hoppers, Brinjal Moju, Fish Ambul Thiyal, Chicken Curry",2025-11-16 11:14 AM
T0047,"Red Rice, Jackfruit, Potato Tempered",2025-11-16 11:14 AM
T0048,"String Hoppers, Jackfruit, Chilli Paste, Fried Egg",2025-11-16 11:14 AM
T0049,"Red Rice, Fried Egg, Chicken Curry, Coconut Sambol, Fried Fish",2025-11-16 11:15 AM
T0050,"Fried Rice, Pumpkin, Potato Tempered, Gotukola, Fried Egg, Fried Fish",2025-11-16 11:15 AM
T0051,"Fried Rice, pol_sambol, Potato Tempered, Chop Suey, Pumpkin",2025-11-16 11:15 AM
T0052,"White Rice, Devilled Chicken, Coconut Sambol, Fish, Jackfruit",2025-11-16 11:15 AM
T0053,"Fried Rice, Potato Tempered, Dried Fish, Chop Suey",2025-11-16 11:16 AM
T0054,"String Hoppers, Dried Fish, Brinjal Moju, Pol Sambol, Gotukola",2025-11-16 11:16 AM
T0055,"Red Rice, Potato Tempered, Pol Sambol, Kiri Hodi",2025-11-16 11:16 AM
T0056,"String Hoppers, Chop Suey, Dried Fish, Devilled Chicken",2025-11-16 11:17 AM
T0057,"Red Rice, Brinjal Moju, Fried Egg, Potato Tempered",2025-11-16 11:17 AM
T0058,"String Hoppers, Pumpkin, Jackfruit, Fish, Fish Ambul Thiyal, Dhal",2025-11-16 11:17 AM
T0059,"White Rice, Chilli Paste, Fried Egg, Potato Tempered, Pol Sambol",2025-11-16 11:17 AM
T0060,"White Rice, Devilled Chicken, Dried Fish, Mallum, Papadam, Pumpkin",2025-11-16 11:17 AM
T0061,"Red Rice, Chilli Paste, Brinjal Moju, Chop Suey",2025-11-16 11:17 AM
T0062,"White Rice, Brinjal Moju, Fish Ambul Thiyal",2025-11-16 11:17 AM
T0063,"White Rice, Fish, Pumpkin, Chilli Paste, Chicken Curry",2025-11-16 11:17 AM
T0064,"String Hoppers, Chicken Curry, Jackfruit, Coconut Sambol, Kiri Hodi, Papadam",2025-11-16 11:18 AM
T0065,"Red Rice, Coconut Sambol, Fish Ambul Thiyal, Potato Tempered, Brinjal Moju, Dhal",2025-11-16 11:18 AM
T0066,"Red Rice, Pol Sambol, Pumpkin, Papadam, Kiri Hodi, Dhal",2025-11-16 11:18 AM
T0067,"Fried Rice, Fried Egg, Coconut Sambol, Fish Ambul Thiyal",2025-11-16 11:18 AM
T0068,"Fried Rice, Chicken Curry, Coconut Sambol",2025-11-16 11:18 AM
T0069,"Fried Rice, Devilled Chicken, Coconut Sambol, Potato Tempered, Kiri Hodi, Chicken Curry",2025-11-16 11:18 AM
T0070,"Red Rice, Devilled Chicken, Fried Fish, Papadam, Chilli Paste",2025-11-16 11:19 AM
T0071,"Fried Rice, Pumpkin, Gotukola",2025-11-16 11:19 AM
T0072,"String Hoppers, Pol Sambol, Potato Tempered, Fish",2025-11-16 11:20 AM
T0073,"String Hoppers, Coconut Sambol, Chicken, Fish Ambul Thiyal",2025-11-16 11:20 AM
T0074,"String Hoppers, Fried Egg, Kiri Hodi",2025-11-16 11:20 AM
T0075,"Red Rice, Coconut Sambol, Kiri Hodi, Chilli Paste, Mallum, Brinjal Moju",2025-11-16 11:20 AM
T0076,"Red Rice, Papadam, Pol Sambol",2025-11-16 11:20 AM
T0077,"String Hoppers, Kiri Hodi, Gotukola, Mallum",2025-11-16 11:21 AM
T0078,"Red Rice, Chop Suey, Fried Egg, Fish Ambul Thiyal, Chilli Paste, Dried Fish",2025-11-16 11:21 AM
T0079,"String Hoppers, Fish, Dried Fish, Fish Ambul Thiyal",2025-11-16 11:22 AM
T0080,"String Hoppers, Mallum, Pol Sambol, Chilli Paste",2025-11-16 11:23 AM
T0081,"Fried Rice, Chicken, Fried Egg, Fried Fish",2025-11-16 11:23 AM
T0082,"White Rice, Chilli Paste, Papadam, Fish Ambul Thiyal",2025-11-16 11:23 AM
T0083,"Red Rice, Papadam, Brinjal Moju, Kiri Hodi, Pol Sambol",2025-11-16 11:23 AM
T0084,"Fried Rice, Dhal, Chilli Paste, Potato Tempered, Fried Egg, Dried Fish",2025-11-16 11:23 AM
T0085,"White Rice, Pumpkin, Chicken",2025-11-16 11:23 AM
